NO,TYPE,PLATE_NO,OWNER NAME,ENGIN NO,SERIAL NO,TITLE CER NO,REG/ DATE,MAKE,MODEL,CAPACITY,ENG POWER HP,M/FA/ YEAR,FILE NO,REGION,CITY,WOREDA,KEBELE,P O Box,TELL,T/ S/No,DATE,DUTY,DATA,Remark,Edesate,EGED,EGED D,EGED N,BIR AMMOUNT,BANK B,Tin Number,Field1
,COMPACTOR,ሥከ-CM-0047,Water Works Construction Enterprise,90N67287,510104,1543,06/05/96,Dynapac,CAS1D,15.6,170,---,026-CM-10,AA,AA,Bole,14/15,1008,0116613022/0116461160,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0048,Norinco Lalibela Engineering & Construction Share Company,4TF84006,H5CZ00499,1879,26/01/97,Cat,CS-533D,10.5,138,2002,010-CM-07,AA,AA,Kirkos,4,4690,114423000,1585,1/25/1996,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0049,Norinco Lalibela Engineering & Construction Share Company,4TF83993,H5CZ00498,1880,26/01/97,Cat,CS-533D,10.5,138,2002,010-CM-08,AA,AA,Kirkos,4,4690,114423000,1586,6/25/1996,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0050,Housing Construction Enterprise,7127322,55860056,1709,10/09/96,Bitelli,C100,10.4,106,1986,098-CM-01,AA,AA,Bole,6,5593,180916,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0051,Blue Nile Construction Share Company,46267489,71420644,1814,04/12/96,Dynapac,CA602D,18.6,190,2002,050-CM-08,AA,AA,N/Lafto,10/18,1182,114426332,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0052,Construction works & Coffee Technology Development Enterprise,7126414,850032,3157,02/05/99,Bitelli,55,12,106,---,034-CM-02,AA,AA,Kirkos,15/16,5898,0115155920/21,,,PAID,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0054,Addis Ababa Water & Sewerage Authority,4TF60006,9RN00618,4926,14/02/01,Cat,CS-531C,9.3,145,2000,350-CM-01,AA,AA,Bole,08/09,1505,116621525,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0055,Lalibela City Administration,A7307900305,649,6329,03/03/02,XGMA,XG953II,3,217,2009,1845-CM-01,Amahra,Lalibela,Lalibela,---,---,582203456,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0056,Kemisie City Administration,A73079003060,648,6330,03/03/02,Xiang Gong,XG6204M,20,168,2009,1848-CM-01,Amhara,Kemisie,Kemisie,---,---,582203456,,,FREE,,,,,,,,,,
,COMPACTOR,ሥከ-CM-0057,Oromia Roads Construction Enterprise,A7307900326,635,6345,08/03/02,Xiagong,XG6204M,20,168,2009,1871-CM-01,AA,AA,Arada,01/02,57794,0911635149/0111568800,,,FREE,,,,,,,,,,
